text,Positive,Negative,Neutral,Compound,Sentiment
first ontarian vaccin minut later psw anita quidangen torontopfizerbiontech… ,0.0,0.0,1.0,0.0,Neutral
pattyhajdu would  take vaccinelisten expert 💥💥pfizerbiontech  untested… ,0.0,0.0,1.0,0.0,Neutral
weekend faa issu guidanc pilot follow use new pfizerbiontech vaccin for… ,0.0,0.0,1.0,0.0,Neutral
ugursahin ozlemtureci muslim scientist husbandwif save world pfizerbiontech… ,0.314,0.0,0.686,0.4939,Positive
surpris learn autoimmun condit otherwis immunosuppress advis receiv the… ,0.0,0.0,1.0,0.0,Neutral
farandwid erinotool erin otool handpick health critic michellerempel go even further… ,0.0,0.174,0.826,-0.2732,Negative
warpspe money go covid pioneer pfizerbiontech moderna ask friend  griftertrump klan,0.242,0.0,0.758,0.4939,Positive
pfizerbiontech vaccin worksthi articl made detail explanation👇… ,0.0,0.0,1.0,0.0,Neutral
skynew new type vaccin man daft hurt ear listen  biggest question… ,0.0,0.254,0.746,-0.5267,Negative
thejagmeetsingh 🙋🏼‍♀️ actual read global news articl jagmeetthi tweet  embed therein  j… ,0.0,0.0,1.0,0.0,Neutral
first us  vaccin today 🙌🏻 thank everyon step get  covidvaccine… ,0.217,0.0,0.783,0.3612,Positive
anitaquidangen person support worker toronto becam one first peopl canada receiv a… ,0.197,0.0,0.803,0.4019,Positive
state suppos get  dose total pfizerbiontech vaccin weekth remain  will… ,0.0,0.0,1.0,0.0,Neutral
orangecounti get  dose  pfizerbiontech vaccin wednesday dec  ochealth confirm ,0.0,0.0,1.0,0.0,Neutral
break  ohaoregon  vaccinelegaci health first regist  vaccine… ,0.0,0.0,1.0,0.0,Neutral
asifintoronto ctvqp 🙋🏼‍♀️ ruhroh anita also sawheard michell rempel suggest  qp house… ,0.0,0.0,1.0,0.0,Neutral
kfdm'sfox ’s  baptist hospit get first hand look pfizer  vacci… ,0.262,0.0,0.738,0.4939,Positive
canadian pm justin trudeau announc arriv first vaccin vial countri biontech pfizerbiontech,0.0,0.0,1.0,0.0,Neutral
privileg offer pfizerbiontech vaccin would encourag everyon take it'll help protect peo… ,0.346,0.0,0.654,0.6486,Positive
one first vaccin receiv us moment scienc hope  covidvaccine… ,0.266,0.0,0.734,0.4404,Positive
half way  covidvaccin vaccin pfizervaccin pfizerbiontech ,0.0,0.0,1.0,0.0,Neutral
can't wait take kid toward herd immun 🐑 🐑 🥳🥳vaccin pfizerbiontech ,0.0,0.0,1.0,0.0,Neutral
toronto receiv ontario  dose pfizer  vaccin todayontario… ,0.0,0.0,1.0,0.0,Neutral
good news first dose pfizerbiontech vaccin arriv california last nightgov gav… ,0.225,0.0,0.775,0.4404,Positive
pandem  pcrgate condem billgatesisnotadoctor pfizerbiontech moderna astrazeneca… ,0.0,0.0,1.0,0.0,Neutral
make vaccin compani liabl pfizerbiontech  pfizer johnsonandtoxin vaccinesarepoison… ,0.0,0.0,1.0,0.0,Neutral
fda author emerg use pfizer vaccinepf pfizer pfizervaccine… ,0.0,0.0,1.0,0.0,Neutral
katejulien theresalubowitz supervis i'm torn politician go firstish show import is… ,0.0,0.167,0.833,-0.25,Negative
pfizerbiontech  wonder everi pfizer employe way boardroom vaccin yet,0.0,0.0,1.0,0.0,Neutral
last night first  arriv canada speak first vaccin admin… ,0.0,0.0,1.0,0.0,Neutral
happi cold chain day  way get vaccin distribut across counti coldchain pfizerbiontech industri cre,0.0,0.0,1.0,0.0,Neutral
receiv first dose covidvaccin pfizerbiontech today feel privileg amp lucki p… ,0.0,0.0,1.0,0.0,Neutral
sever countri includ us uk approv use pfizerbiontech … ,0.0,0.0,1.0,0.0,Neutral
hospit work receiv vaccin iv room made first five dose given state i'… ,0.0,0.0,1.0,0.0,Neutral
last night anitaoakvill welcom first  dose pfizerbiontech vaccin 🇨🇦 although l… ,0.0,0.0,1.0,0.0,Neutral
histor moment firstdos pfizerbiontech  vaccin administ upmc upmchealthbeat  pitt… ,0.0,0.0,1.0,0.0,Neutral
breakingnew nurs new york citi monday becam first person unit state receiv corona… ,0.0,0.0,1.0,0.0,Neutral
updat nurs new york citi monday becam first person unit state receiv coronavirus… ,0.0,0.0,1.0,0.0,Neutral
new methodistdalla receiv first shipment pfizerbiontech  vaccin front line healthcare… ,0.0,0.0,1.0,0.0,Neutral
it kind surreal vaccin drop today pfizerbiontech,0.324,0.2,0.476,0.3182,Positive
coronavirus vaccin ship today expect hospit overwhelm nine  month  babi deliveri 😁… ,0.0,0.134,0.866,-0.1779,Negative
per cdc person hiv immunocompromis condit may still receiv  vaccin unless… ,0.0,0.0,1.0,0.0,Neutral
realdonaldtrump im gravel feet someon kill  usa appreci scientist… ,0.0,0.47,0.53,-0.7351,Negative
scienc everywher result entir world approv vaccin one countri has… ,0.0,0.0,1.0,0.0,Neutral
presid trump say first pfizerbiontech  vaccin unit state administ ,0.0,0.0,1.0,0.0,Neutral
 dose pfizerbiontech  vaccin arriv canada🙏🙏🙏bi helloryanjon ,0.0,0.0,1.0,0.0,Neutral
up fedex transport initi pfizerbiontech  dose up fdx,0.0,0.0,1.0,0.0,Neutral
new vaccin campaign begin today quebec resid maimonid among first senior in… ,0.0,0.0,1.0,0.0,Neutral
kudo upsup announc  involv amp full support distribut effort pfizerbiontechs… ,0.231,0.0,0.769,0.4019,Positive
tuna fish  vaccin  contain freezer use ship seafood given new role … ,0.0,0.0,1.0,0.0,Neutral
end sight mani cowork get first dose pfizerbiontech covidvaccin to… ,0.0,0.0,1.0,0.0,Neutral
pfizer receiv emerg use author food drug administr  vaccin develope… ,0.0,0.0,1.0,0.0,Neutral
thank thank thank scientist work develop vaccin  t… ,0.6,0.0,0.4,0.7579,Positive
well done usa 🇺🇲👍 pfizerbiontech pfizervaccin  ,0.296,0.0,0.704,0.2732,Positive
sunday even shipment first initi  dose pfizer vaccin spread across  dist… ,0.0,0.0,1.0,0.0,Neutral
watch shipment initi dose  vaccin arriv select port entri canada sunday… ,0.0,0.0,1.0,0.0,Neutral
singapor approv pfizer  vaccin first shipment expect end decemb say pm lee hsien loong… ,0.0,0.0,1.0,0.0,Neutral
lipid use lipid nanoparticl use mrna  biontechpf pfizerbiontech  covidvaccin t… ,0.0,0.0,1.0,0.0,Neutral
canada begin pfizerbiontech  rollout ,0.0,0.0,1.0,0.0,Neutral
approv pfizerbiontech vaccin singapor approv pfizer covidvaccin expect first shot decemb… ,0.0,0.0,1.0,0.0,Neutral
first pfizer coronavirus vaccin dose set arriv hospit  pfizerbiontech… ,0.0,0.0,1.0,0.0,Neutral
vaccin  million new case confirm past week death toll … ,0.0,0.328,0.672,-0.5994,Negative
us health care worker amp vulner receiv pfizerbiontech shotstruck sunday began ship milli… ,0.211,0.0,0.789,0.4939,Positive
sammwit oh great  thought wouldnt abl see xmas  btw heard radio shropsh… ,0.272,0.0,0.728,0.6249,Positive
pfizerbiontech  vaccin make way distribut site nationwid fedex say the… ,0.0,0.0,1.0,0.0,Neutral
us set start   vaccin  drive dose pfizerbiontech  vaccin ready… ,0.0,0.0,1.0,0.0,Neutral
singapor becam monday first asian countri approv pfizerbiontech coronavirusvaccin said ex… ,0.0,0.0,1.0,0.0,Neutral
singapor approv pfizer vaccin  becom first south east asian countri approv vaccin dose gi… ,0.0,0.0,1.0,0.0,Neutral
pfizerbiontech  vaccin distribut electoralcolleg formal cast vote today detroitlion los… ,0.0,0.0,1.0,0.0,Neutral
billgat  caught video admit covidvaccin  chang dna  forev  via… ,0.184,0.0,0.816,0.2023,Positive
singapor approv pfizerbiontech virusvaccin  pandem,0.0,0.0,1.0,0.0,Neutral
excit tomorrow honour part excit team administ primari care … ,0.496,0.0,0.504,0.7845,Positive
ludovicotodini taxistalobbyst   caught video admit covidvaccin chang dna forever… ,0.184,0.0,0.816,0.2023,Positive
get vaccin yet  via youtub vaccin maskup  pfizer pfizervaccin pfizerbiontech,0.0,0.0,1.0,0.0,Neutral
canada begin pfizerbiontech  rollout  pandem,0.0,0.0,1.0,0.0,Neutral
singapor approv pfizerbiontech  vaccin first shipment expect enddecemb coronavirus… ,0.0,0.0,1.0,0.0,Neutral
gopchairwoman gop realdonaldtrump pfizerbiontech thank drsahin amp team ,0.263,0.0,0.737,0.3612,Positive
us expect immun  million  end march slaoui  ,0.0,0.0,1.0,0.0,Neutral
singapor plan tackl  realli effect  earli pandemicmor  bn set asid fo… ,0.0,0.0,1.0,0.0,Neutral
singapor approv pfizer biontechgroup  vaccin local use vaccin safe use peopl age  above… ,0.195,0.0,0.805,0.4404,Positive
phase  begin dec  pfizerbiontech vaccin first arriv singapor end dec shot free a… ,0.216,0.0,0.784,0.5106,Positive
realdonaldtrump world🌏 thank  pfizerbiontech drsahin amp team ,0.294,0.0,0.706,0.3612,Positive
vaccin mean i'm gonna eventu wear proper bra agreement un… ,0.262,0.0,0.738,0.4939,Positive
us began shipment  pfizerbiontech vaccin sunday follow final cdc approv pandem far… ,0.0,0.0,1.0,0.0,Neutral
true question scientistsa mani vaccin pfizerbiontech vaccin need given  shot a… ,0.219,0.0,0.781,0.4215,Positive
first million pfizerbiontech vaccin arriv us lastminut emergencyauthorization… ,0.0,0.0,1.0,0.0,Neutral
donaldtrump mikep offer recent author pfizerbiontech vaccin,0.0,0.0,1.0,0.0,Neutral
pfizervaccin unlik avail india mass distribut read find whypfizerbiontech… ,0.0,0.0,1.0,0.0,Neutral
us set begin coronavirus vaccin drive today dose pfizerbiontech vaccin set to… ,0.0,0.0,1.0,0.0,Neutral
politico  decemb    fdas hahn  vaccin author base scienc data… ,0.0,0.0,1.0,0.0,Neutral
politico  decemb    fdas hahn  vaccin author base scienc data… ,0.0,0.0,1.0,0.0,Neutral
i'm due get vaccin tuesday super thrilledpf pfizerbiontech coronavirusvaccin,0.328,0.0,0.672,0.5994,Positive
usa start vaccin today accord latest figur maximum coronavirus case  mil… ,0.0,0.0,1.0,0.0,Neutral
covid pfizerbiontech vaccin  pennsylvanianurs home pennsylvania prepar  vaccin distribut… ,0.0,0.0,1.0,0.0,Neutral
vaccin save live 💯 hope hcw assuag public fear anxieti regard vaccin 💉 finally… ,0.333,0.175,0.492,0.4404,Positive
 dose pfizerbiontech  vaccin arriv canada ,0.0,0.0,1.0,0.0,Neutral
politician essentialwork 🤔🤦‍♂️  pfizerbiontech covidvaccin vaccineswork sciencematters… ,0.0,0.0,1.0,0.0,Neutral
first batch dose pfizerbiontech  vaccin arriv canada” pm trudeau said twitter… ,0.0,0.0,1.0,0.0,Neutral
usa start vaccin today accord latest figur maximum coronavirus case  mil… ,0.0,0.0,1.0,0.0,Neutral
good news  pfizerbiontech vaccin arriv  vaccin like moderna astrazeneca also come ,0.375,0.0,0.625,0.6597,Positive
money mr mark twain get one first dose pfizerbiontech vaccin unit state calnbc,0.0,0.0,1.0,0.0,Neutral
 aka cozybear hacker group suspect hack pfizerbiontech ip feder agenc like us treas… ,0.159,0.14,0.701,0.0772,Positive
pfizerbiontech  vaccin also urgent need africa ghana nigeria egypt southafrica amp rest… ,0.141,0.0,0.859,0.2023,Positive
come   pfizerbiontech ,0.0,0.0,1.0,0.0,Neutral
realdonaldtrump might well call  year ahead liarinchief noth pfizercovidvaccin pfizerbiontech,0.189,0.0,0.811,0.2732,Positive
 cdcgov caseymross interest approach 🇺🇲 🇬🇧 guidanc v clear nowani person histori anaph… ,0.359,0.0,0.641,0.6808,Positive
pfizerbiontech  vaccin donald trump mike penc amp top us offici offer earli access newli a… ,0.114,0.0,0.886,0.2023,Positive
pfizerbiontech vaccin hack day agoustreasuri hack announc today whol… ,0.0,0.0,1.0,0.0,Neutral
safe thank fedex 👍 vaccin fedex pfizerbiontech pfizer ,0.519,0.0,0.481,0.6597,Positive
rainartchik nowher near  innocul  😇pfizerbiontech cdnpoli,0.0,0.0,1.0,0.0,Neutral
harharmahadev 🙏first batch dose pfizer biontech vaccin canada yay mani congratul 🙏… ,0.236,0.0,0.764,0.5267,Positive
welcom   🇨🇦 tonightth   dose pfizerbiontech arriv across cou… ,0.0,0.0,1.0,0.0,Neutral
inform pfizer vaccin sever allergiescovidvaccin pfizervaccin pfizerbiontech,0.0,0.0,1.0,0.0,Neutral
welp thank alreadi arent go quit plan pfizerbiontech covidvaccin distribut  aren… ,0.2,0.0,0.8,0.3612,Positive
mt murraynyc five year ahead schedul it pandem predetermin schedul ackno… ,0.0,0.0,1.0,0.0,Neutral
excel news  great presid trump administr push get vaccin readi qui… ,0.441,0.0,0.559,0.7964,Positive
good heaven  stupid reason even slow day get dummi padem slither away alr… ,0.316,0.173,0.51,0.4215,Positive
say won't take pfizer vaccin  read report  ,0.0,0.0,1.0,0.0,Neutral
it  covidvaccin  pfizerbiontech ,0.0,0.0,1.0,0.0,Neutral
process definit thought everyth public wise pfizervaccin pfizerbiontech ,0.307,0.0,0.693,0.4767,Positive
turkey coronavirus death toll reach  drfahrettinkoca coronaviruspandem turkey pfizerbiontech… ,0.092,0.325,0.583,-0.5859,Negative
case anyon interest link pfizerbiontech  patient inform t… ,0.3,0.0,0.7,0.4588,Positive
tameemmurtuza yes link patient educ inform pfizerbiontech given… ,0.278,0.0,0.722,0.4019,Positive
unitedstates—th first  vaccin go outcdc offici allowspfizerbiontech—coronavirus… ,0.0,0.0,1.0,0.0,Neutral
infect worldwideunitedst       corona … ,0.0,0.0,1.0,0.0,Neutral
pfizerbiontech covidvaccin given green light us,0.0,0.0,1.0,0.0,Neutral
kind america leav behindtrump donaldtrump joebiden newyork washington whitehouse… ,0.298,0.0,0.702,0.5267,Positive
chesleydohl  cspan trump claim pfizerbiontech vaccin one administrati… ,0.0,0.0,1.0,0.0,Neutral
go grate among first group vaccin healthcar worker tampafl  🙏🏽… ,0.0,0.0,1.0,0.0,Neutral
cdc acip releas interim guidanc use pfizerbiontech covid vaccin ,0.0,0.0,1.0,0.0,Neutral
dr kathi lofi say vaccin new tool tool box say she'll also get vaccin soon as… ,0.0,0.0,1.0,0.0,Neutral
advisori committe immun practic interim recommend use pfizerbiontech  vaccin… ,0.238,0.0,0.762,0.3612,Positive
turkey coronavirus death toll reach  drfahrettinkoca coronaviruspandem turkey pfizerbiontech… ,0.092,0.325,0.583,-0.5859,Negative
acip recommend use pfizerbiontech  vaccin person  year age older the… ,0.217,0.0,0.783,0.3612,Positive
cdcdirector redfield sign recommend cdc panel recommend pfizer  vaccine… ,0.417,0.0,0.583,0.6124,Positive
box contain first shipment pfizerbiontech  vaccin prepar sent pfizer… ,0.0,0.0,1.0,0.0,Neutral
great day countri amp world realdonaldtrump one day closer leav whitehous first… ,0.272,0.0,0.728,0.6249,Positive
answer question covid vaccin   vaccin  healthcar health… ,0.0,0.0,1.0,0.0,Neutral
watch capehartj new thesundayshow mariahinojosa correct state two death among o… ,0.0,0.281,0.719,-0.5994,Negative
pfizerbiontech pfizercovidvaccin  day ,0.0,0.0,1.0,0.0,Neutral
agre uk us vaccin technolog pioneer  german one usbiotech us celebr distribution… ,0.0,0.0,1.0,0.0,Neutral
realdonaldtrump varneyco pfizer fund oper warp speed would never support mus… ,0.0,0.184,0.816,-0.3089,Negative
 vaccin bit help save human racemega sore arm today expect  small pr… ,0.339,0.144,0.517,0.5267,Positive
jeremysal nytim appar truck escort us marshal 🤞🤞 stay safe hijack o… ,0.209,0.0,0.791,0.4404,Positive
airborn  head memphi 👇pfizerbiontech covidvaccin 🇺🇸 fedex   ,0.0,0.0,1.0,0.0,Neutral
newli approv vaccin ccpvirus start distribut us state dec  accord of… ,0.0,0.0,1.0,0.0,Neutral
 teamgp nhsengland nikkikf pulsetoday think go see lot happeningth l… ,0.0,0.0,1.0,0.0,Neutral
tedcruz know trumpkin like inform  pfizerbiontech vaccin develop in… ,0.238,0.0,0.762,0.3612,Positive
canadian firm acuita  heart pfizerbiontech vaccin  great stori  ubcprez ubc  help earli wi… ,0.382,0.0,0.618,0.7783,Positive
“dday begin end that today” said caution would still take months… ,0.0,0.0,1.0,0.0,Neutral
first truck load pfizer coronavirus shot pull michigan warehous earli sunday — start t… ,0.0,0.0,1.0,0.0,Neutral
joebiden kamalaharri thank bring fresh air posit god hand push us forw… ,0.558,0.0,0.442,0.8442,Positive
pfizer pfizercovidvaccin vaccin vaccin biontech pfizerbiontech moderna toxic mrna… ,0.0,0.0,1.0,0.0,Neutral
afp updat pfizerbiontech  vaccin began leav compani michigan factori sunday set to… ,0.0,0.0,1.0,0.0,Neutral
eng nhs worker vaccin game changer  hopenewsnhshero bbcnew vaccin  … ,0.0,0.0,1.0,0.0,Neutral
updat pfizerbiontech  vaccin began leav compani michigan factori sunday set inje… ,0.0,0.0,1.0,0.0,Neutral
jojofromjerz someon remind tedcruz pfizerbiontech vaccin develop us  scienceovermoron,0.0,0.0,1.0,0.0,Neutral
rival us compani up fedex work sidebysid ship pfizerbiontech  vaccin,0.0,0.0,1.0,0.0,Neutral
pfizerbiontech usa first shipment pfizerbiontech coronavirus vaccin leav michigan facil,0.0,0.0,1.0,0.0,Neutral
kuwait author emerg use pfizerbiontech  vaccinefor covid news visit… ,0.0,0.0,1.0,0.0,Neutral
approv pfizer  biontech vaccin fda advisori boardlast minut news us food drug administra… ,0.0,0.0,1.0,0.0,Neutral
happi reliev pfizerbiontech covidvaccin – amaz work mhragovuk nhsuk since… ,0.0,0.0,1.0,0.0,Neutral
vaccin pfizerbiontech oxfordastrazeneca bharatbiotech sputnikv compani submit applicat… ,0.0,0.0,1.0,0.0,Neutral
us food drug administr fda issu yesterday first emerg use author pfizerbion… ,0.0,0.0,1.0,0.0,Neutral
covid  vaccin latest updat youtub youtubecr youtubetrends… ,0.0,0.0,1.0,0.0,Neutral
 month  week sinc first case final relief uncl sam vaccin start monday👏… ,0.22,0.0,0.78,0.4767,Positive
first truck fill pfizer vaccin hit road pfizerbiontech 💉,0.0,0.0,1.0,0.0,Neutral
us say  vaccin start arriv state monday  via   pfizervaccine… ,0.0,0.0,1.0,0.0,Neutral
interest watch cnns newday live coverag load pfizerbiontech vaccin pfizer plant at… ,0.214,0.0,0.786,0.4588,Positive
vaccin acomin 💉🙏🥰 coronavirus vaccin pfizerbiontech cnn msnbc,0.0,0.0,1.0,0.0,Neutral
global coronavirus death toll reach  coronaviruspandem worldomet pfizerbiontech… ,0.1,0.355,0.545,-0.5859,Negative
two peopl unit kingdom experienc allerg reaction pfizerbiontech  vaccinerea… ,0.0,0.0,1.0,0.0,Neutral
petedeveson annadown rcgp martinrcgp skynew 💉gps struggl provid core servic amp mani made di… ,0.0,0.0,1.0,0.0,Neutral
first shipment pfizerbiontech  vaccin begin arriv us state monday offi… ,0.0,0.0,1.0,0.0,Neutral
number like get wors holiday vaccin offer bright spot fight the… ,0.522,0.144,0.333,0.7003,Positive
pfizer keep good work pfizerbiontech pfizervaccin pfizerbiontech pfizerbiotech  vaccin coronavirus,0.244,0.0,0.756,0.4404,Positive
health canada warn peopl allerg ingredi pfizerbiontech  vaccin to… ,0.0,0.149,0.851,-0.1027,Negative
puck intend get vaccin wht employ forc get vaccin like arogya set… ,0.185,0.0,0.815,0.3612,Positive
ok might late discov pfizerbiontech  moderna  vaccin led by… ,0.216,0.0,0.784,0.296,Positive
hour author fda dose pfizerbiontech coronavirus vaccin packag an… ,0.0,0.0,1.0,0.0,Neutral
🔴 fda advisor tap review coronavirus vaccin receiv payment vaccin companies🔺just pray th… ,0.173,0.0,0.827,0.3182,Positive
 dumass  anyth pfizerbiontech vaccin bet w… ,0.0,0.0,1.0,0.0,Neutral
us state start get pfizerbiontech  vaccin monday kalingatv pfizervaccin ,0.0,0.0,1.0,0.0,Neutral
corona pfizer vaccin approv use us emerg basispfizervaccin us fdapfizerbiontech ,0.0,0.0,1.0,0.0,Neutral
up fedex collabor ship pfizerbiontech  vaccin usup fedex… ,0.0,0.0,1.0,0.0,Neutral
us presid donald trump announc vaccin free american thank scienti… ,0.42,0.0,0.58,0.7003,Positive
astrazeneca buy pharmaceut firm alexion   pfizer pfizervaccine… ,0.0,0.0,1.0,0.0,Neutral
